Existence of initiatives and projects in the past five years to improve the tourism sector - exists,Existence of cafes - does not exist,Tourism Index,Existence of touristic attractions that can be expolited and developed - does not exist,Existence of touristic attractions prone to be exploited and developed - exists,Total number of hotels,Town,Total number of cafes,Observation URI,Existence of hotels - does not exist,Existence of restaurants - does not exist,Existence of cafes - exists,references,Existence of hotels - exists,refArea,Total number of guest houses,Total number of restaurants,publisher,dataset,Existence of guest houses - exists,Existence of guest houses - does not exist,Existence of restaurants - exists
0,0,6,0,1,0,Kfar Chellane,6,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Chellane,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,0,1,0,Kfar Chima,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Chima,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,7,0,1,0,Kfar Chouba,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Chouba,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hasbaya_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,0,1,0,0,Kfar Dane,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Dane,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Kfar Denis,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Denis,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,0,10,0,1,8,Kfar Dibiane,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Dibiane,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Keserwan_District,1,20,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
1,0,6,1,0,0,Kfar Dounine,6,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Dounine,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bint_Jbeil_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,3,1,0,0,Kfar Falous,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Falous,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Kfar Faqoud,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Faqoud,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Kfar Habou,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Habou,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Kfar Hamam,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Hamam,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hasbaya_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Kfar Hatta Saida,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Hatta+Saida,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,0,6,0,1,0,Kfar Hay,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Hay,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,1,3,0,1,0,Kfar Hazir,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Hazir,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Kfar Heam,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Heam,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,7,0,1,0,Kfar Hilda,8,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Hilda,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,2,15,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,6,1,0,0,Kfar Houneh,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Houneh,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,1,6,0,1,1,Kfar Jreif,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Jreif,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Keserwan_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Kfar Kila,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Kila,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Marjeyoun_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Kfar Matta,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Matta,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Aley_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Kfar Melki Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Melki+Saida,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,3,0,1,0,Kfar Nabrakh,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Nabrakh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,0,0,0,Kfar Niss,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Niss,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,1
0,0,0,0,0,0,Kfar Qatra,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Qatra,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,3,1,0,0,Kfar Qouq,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Qouq,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,9,1,0,1,Kfar Roummane,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Roummane,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/Nabatieh_Governorate,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,3,0,1,0,Kfar Selouane,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Selouane,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,6,0,1,1,Kfar Sir,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Sir,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,https://dbpedia.org/page/Nabatieh_Governorate,0,6,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Kfar Tay El-Matn,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Tay+El-Matn,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Kfar Tibnit,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+Tibnit,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Kfar michki,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfar+michki,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,6,1,0,0,Kfardlaqous,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfardlaqous,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,8,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
1,0,6,0,1,0,Kfarfila,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarfila,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Kfarfou,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarfou,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Kfarhata ,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarhata+,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,6,1,0,1,Kfarhata Zgharta,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarhata+Zgharta,0,0,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Zgharta_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,4,0,1,0,Kfarsghab,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarsghab,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,3,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,6,1,0,0,Kfartoun,12,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfartoun,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Kfaryachit,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfaryachit,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,0,1,0,Kfarzabad,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarzabad,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/ZahlÃ©_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,1,0,0,Kfarzaina,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfarzaina,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Zgharta_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,1,0,1,0,Kfoun,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfoun,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,8,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,1,0,0,1,0,Kfour El-Aarbi,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfour+El-Aarbi,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,1,7,1,0,1,Kfour En-Nabatieh,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kfour+En-Nabatieh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Keserwan_District,1,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,1,1
0,0,6,0,1,0,Khalwat,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khalwat,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hasbaya_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,1,1,0,0,Kharbe,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kharbe,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,2,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,1,0,1,0,0,Kharnoub,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kharnoub,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Khartoum,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khartoum,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,1,1,0,0,Khat el Petrol,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khat+el+Petrol,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,1,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,0,0,0,0,Khayayeb Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khayayeb+Saida,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,0,0,0,0,Khereibet Ech-Chouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khereibet+Ech-Chouf,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,0,6,0,1,0,Khinchara,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khinchara,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Matn_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,3,1,0,0,Khirbet Bisri,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Bisri,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,7,1,0,0,Khirbet Char,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Char,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,1,4,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,1,0,1,0,0,Khirbet Daoud Aakkar,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Daoud+Aakkar,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Khirbet Jord,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Jord,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,10,0,1,2,Khirbet Qanafar,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Qanafar,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Western_Beqaa_District,2,4,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
1,1,0,1,0,0,Khirbet Rouha,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Rouha,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Beqaa_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
1,0,7,-1,1,0,Khirbet Selm,10,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khirbet+Selm,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bint_Jbeil_District,3,7,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,9,-1,1,2,Khiyam Marjaayoun,5,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khiyam+Marjaayoun,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Marjeyoun_District,0,3,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Khodr Baalbek,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khodr+Baalbek,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,1,0,0,1,0,Khreibet Baabda,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khreibet+Baabda,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Baabda_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,3,1,0,0,Khreibet Ej-Jindi,6,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khreibet+Ej-Jindi,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,0,0,0,Khzaiz,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Khzaiz,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Kleyleh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kleyleh,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Kneisset Aakkar,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kneisset+Aakkar,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,0,1,0,Kneisset Ech-Chouf,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kneisset+Ech-Chouf,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,Kneisset Sour,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kneisset+Sour,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Tyre_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
1,0,6,0,1,0,Kouachra,8,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kouachra,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,4,1,0,0,Kouakh,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kouakh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Hermel_District,2,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,6,1,0,0,Koueikhat,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Koueikhat,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,9,1,0,1,Kounine,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kounine,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Bint_Jbeil_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,1,1,0,0,Kour,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kour,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Batroun_District,1,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,0
0,0,6,1,0,0,Kousba,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kousba,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,5,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,6,1,0,0,Kroum El-Aarab,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Kroum+El-Aarab,1,0,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Laboueh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Laboueh,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
